Isolate_ID,year,cluster_id,US_region,Michigan_human,Michigan_cattle
28094,2011,Cluster 1,Region 5,Yes,No
28125,2012,Cluster 1,Region 5,Yes,No
28133,2012,Cluster 1,Region 5,Yes,No
28148,2012,Cluster 1,Region 5,Yes,No
28149,2012,Cluster 1,Region 5,Yes,No
28159,2012,Cluster 1,Region 5,Yes,No
28160,2012,Cluster 1,Region 5,Yes,No
61901,2017,Cluster 1,Region 3,No,No
61929,2017,Cluster 1,Region 3,No,No
61930,2017,Cluster 1,Region 3,No,No
61931,2017,Cluster 1,Region 3,No,No
61945,2015,Cluster 1,Region 3,No,No
61951,2015,Cluster 2,Region 3,No,No
61989,2016,Cluster 2,Region 3,No,No
61995,2016,Cluster 1,Region 3,No,No
61998,2016,Cluster 1,Region 3,No,No
62007,2016,Cluster 2,Region 3,No,No
62026,2017,Singleton,Region 3,No,No
62082,2016,Cluster 2,Region 3,No,No
90696,2019,Cluster 1,Region 5,No,No
91191,2018,Cluster 1,Region 9,No,No
91431,2018,Cluster 1,Region 9,No,No
91800,2018,Cluster 1,Region 4,No,No
91801,2018,Cluster 1,Region 3,No,No
91898,2018,Cluster 1,Region 6,No,No
91954,2018,Cluster 1,Region 9,No,No
92193,2017,Cluster 1,Region 2,No,No
92226,2017,Cluster 1,Region 4,No,No
92457,2017,Cluster 1,Region 6,No,No
92520,2016,Cluster 1,Region 3,No,No
92628,2017,Cluster 4,Region 6,No,No
92689,2016,Cluster 1,Region 9,No,No
92747,2016,Cluster 1,Region 7,No,No
93721,2017,Cluster 1,Region 7,No,No
93807,2017,Cluster 1,Region 5,No,No
93841,2017,Cluster 1,Region 6,No,No
93878,2017,Cluster 1,Region 9,No,No
93937,2017,Cluster 1,Region 4,No,No
93975,2016,Cluster 1,Region 2,No,No
94691,2019,Cluster 1,Region 5,No,No
94733,2018,Cluster 1,Region 3,No,No
95067,2018,Cluster 1,Region 3,No,No
95109,2018,Cluster 1,Region 9,No,No
95249,2018,Cluster 4,Region 6,No,No
98356,2019,Singleton,Region 3,No,No
98377,2019,Cluster 1,Region 4,No,No
98399,2019,Cluster 1,Region 3,No,No
98433,2019,Cluster 1,Region 4,No,No
98456,2019,Cluster 1,Region 4,No,No
98486,2019,Cluster 1,Region 7,No,No
98501,2019,Cluster 1,Region 7,No,No
98567,2019,Cluster 1,Region 8,No,No
98587,2019,Cluster 2,Region 9,No,No
98596,2019,Cluster 1,Region 4,No,No
98607,2019,Cluster 1,Region 7,No,No
98629,2018,Cluster 2,Region 7,No,No
98633,2019,Cluster 1,Region 3,No,No
98644,2019,Cluster 1,Region 7,No,No
98653,2019,Cluster 2,Region 10,No,No
98675,2019,Cluster 1,Region 9,No,No
